postcode,year,age,number_citizens,health_expenditure_under_deductible,costs_per_head,log_costs_per_head,wa_statusscore,wa_SHI,status,i rank,pc3
0.0,2011,44.54748603351955,278.1899441340782,774429.5002793294,2095.387355881123,7.390531321599152,,,,,0
0.0,2012,44.39106145251397,267.2849162011173,725115.8223463685,2074.610201408292,7.378882467034331,,,,,0
0.0,2013,44.5,271.31666666666666,740548.0581666664,2154.0332354863367,7.453819119599072,,,,,0
0.0,2014,44.32402234636872,270.29050279329607,801208.5447486037,2375.233187804517,7.5260034434571175,,,,,0
0.0,2015,44.3463687150838,264.83798882681566,743374.7615083795,2249.8940042274303,7.454290139590999,,,,,0
0.0,2016,44.5,250.99444444444444,703343.2243333332,2249.4533467675255,7.43786265596592,,,,,0
100.0,2011,40.66666666666666,11.333333333333336,2783.7166666666667,240.64816666666667,5.442201433675005,,,,,100
100.0,2012,40.25,12.25,4956.9425,425.9462365967366,5.888451429607503,,,,,100
100.0,2013,36.25,11.75,4119.685,344.059743006993,5.495406878913298,,,,,100
100.0,2014,41.0,12.0,4413.052500000002,341.7275238095238,5.411990860869029,,,,,100
100.0,2015,42.4,11.8,4837.234,354.63423653846155,5.59322191768152,,,,,100
101.0,2011,44.5,612.5277777777778,1131983.2867222214,2378.5697057131383,7.547346201166401,0.7008188262707791,25.077092511013195,4.0,4.0,101
101.0,2012,44.5,629.7611111111112,1179840.654055556,2401.6901388100086,7.5437705649508,0.6981040299246795,25.44948905109496,4.0,4.0,101
101.0,2013,44.5,635.55,1173387.4979444442,2337.8332179377508,7.520647769271769,0.6953513666147898,25.619392185238794,4.0,4.0,101
101.0,2014,44.5,637.6944444444445,1139295.6832222221,2309.805331974329,7.479555518542067,0.6927950852758188,27.16666666666667,4.0,5.0,101
101.0,2015,44.5,637.75,1119091.4402222224,2254.985843792482,7.429453256572755,0.7681405242405343,28.463366336633662,4.0,5.0,101
101.0,2016,44.5,638.6222222222223,1226832.4016666668,2449.364938572053,7.519995080040557,0.8383095773398849,29.876643356643395,4.0,6.0,101
102.0,2011,44.5,233.47777777777782,515395.1949444445,2662.1332820697407,7.6642677373820165,-1.5391698358286836,20.1412935323383,1.0,1.0,102
102.0,2012,44.424581005586596,235.2849162011173,504396.660949721,2614.4427157186906,7.625288124997593,-1.533231405407636,20.31435643564363,1.0,1.0,102
102.0,2013,44.5,237.52777777777774,513728.5752222222,2655.982633588277,7.634747919912858,-1.5234979775415494,20.407425742574205,1.0,1.0,102
102.0,2014,44.5,241.84444444444443,522217.29300000006,2752.1652856175624,7.611304979547684,-1.5233747019527808,21.30144230769237,1.0,2.0,102
102.0,2015,44.5,244.7,499753.75383333326,2586.72715565439,7.554846161616777,-1.3572781081923966,22.22383177570098,1.0,2.0,102
102.0,2016,44.5,246.92222222222225,537200.7873333335,2753.36877721834,7.625437274865294,-1.206255337704057,23.17227272727269,1.0,3.0,102
103.0,2011,44.5,253.65,580410.9230555552,2759.092553217135,7.706661827246494,-1.3779793422895064,19.88075117370898,1.0,1.0,103
